,team,year,salary,z_salary
365,Cavaliers,2013,59815711,-1.2225486984801306
366,Mavericks,2013,76610420,0.2467648947457626
367,Nuggets,2013,69667908,-0.3606125389885095
368,Pistons,2013,75557266,0.15462793137472577
369,Warriors,2013,76907365,0.2727436315574848
370,Rockets,2013,52761621,-1.8396877227310922
371,Pacers,2013,72592076,-0.10478674341943031
372,Clippers,2013,75936355,0.18779317530615744
373,Lakers,2013,109954583,3.1639355316790896
374,Grizzlies,2013,69239499,-0.39809262674473744
375,Heat,2013,88317627,1.2709897493597562
376,Bucks,2013,68532243,-0.4599681170965246
377,Timberwolves,2013,70640264,-0.2755443256449644
378,Pelicans,2013,70425903,-0.2942980611909328
379,Knicks,2013,87822589,1.227680510565362
380,Thunder,2013,75685310,0.16583007782043177
381,Magic,2013,73086548,-0.06152702209472061
382,Sixers,2013,73240656,-0.04804462241605657
383,Suns,2013,59512721,-1.2490562923664859
384,Trailblazers,2013,65273700,-0.7450472764919677
385,Kings,2013,59760531,-1.2273762143408822
386,Spurs,2013,76689515,0.25368465493072334
387,Raptors,2013,69957680,-0.33526134424400666
388,Jazz,2013,72098344,-0.14798172458942896
389,Wizards,2013,65573418,-0.71882593907347
390,Hawks,2014,63669211,-0.8026974241279055
391,Celtics,2014,76497042,0.30279738599677414
392,Nets,2014,110711341,3.2513652285692256
393,Hornets,2014,65176774,-0.6727765456539068
394,Bulls,2014,79142487,0.5307802552729817
395,Cavaliers,2014,71930622,-0.09073396087313233
396,Mavericks,2014,80950377,0.6865831351422524
397,Nuggets,2014,70989597,-0.1718309330500792
398,Pistons,2014,67326234,-0.48753736729471314
399,Warriors,2014,78242718,0.45323870052291737
400,Rockets,2014,62400533,-0.9120313360510792
401,Pacers,2014,72500802,-0.04159618919241017
402,Clippers,2014,78832641,0.5040779121459252
403,Lakers,2014,83552730,0.9108523616087058
404,Grizzlies,2014,77692086,0.40578556380100606
405,Heat,2014,87241315,1.22873241274157
406,Bucks,2014,58707401,-1.230303244926818
407,Timberwolves,2014,73991801,0.08689721365964542
408,Pelicans,2014,72690989,-0.025205987181393465
409,Knicks,2014,96124095,1.9942450851083404
410,Thunder,2014,77325728,0.37421305028350976
411,Magic,2014,61456229,-0.9934108904886124
412,Sixers,2014,55837326,-1.4776445933721312
413,Suns,2014,59968534,-1.1216195565950209
414,Trailblazers,2014,66109927,-0.5923579777329329
415,Kings,2014,63858581,-0.7863776306886786
416,Spurs,2014,68112379,-0.4197878609669897
417,Raptors,2014,77226706,0.36567939349553324
418,Jazz,2014,61417345,-0.9967618903729176
419,Wizards,2014,69820601,-0.27257430977966896
420,Hawks,2015,61659318,-1.331099583538427
421,Celtics,2015,65780740,-0.9328714805413666
422,Nets,2015,92845137,1.6821976572633364
423,Hornets,2015,70617066,-0.46556652403476245
424,Bulls,2015,71274407,-0.4020516353744431
425,Cavaliers,2015,87321557,1.1484874996642107
426,Mavericks,2015,89676480,1.3760294788631733
427,Nuggets,2015,60073465,-1.4843309759612844
428,Pistons,2015,71270170,-0.40246103108116726
429,Warriors,2015,77825662,0.2309565474566301
430,Rockets,2015,81249194,0.5617517569522198
431,Pacers,2015,79075717,0.3517418082942707
432,Clippers,2015,90140850,1.4208987458755649
433,Lakers,2015,81986308,0.6329746285515307
434,Grizzlies,2015,79461828,0.38904938103889575
435,Heat,2015,80153604,0.4558915156659479
436,Bucks,2015,57592055,-1.7240946296366264
437,Timberwolves,2015,73351141,-0.20138937820944097
438,Pelicans,2015,84593880,0.8849285539171572
